album,id,large,med,preview,small,song_name
Elvis' Golden Records,4gphxUgq0JSFv2BCLhNDiE,https://i.scdn.co/image/31301ae33f6ec1ca0f86edec54a9a7be14c78310,https://i.scdn.co/image/1123a3ffb6d553b1770a2b51ad07d8113c205bf5,https://p.scdn.co/mp3-preview/29990f669b5328b6c40320596a2b14d8660cdb54?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/e0c1b855510a651821bcfcc6f20cd2424e493c93,Jailhouse Rock
More Of The Monkees (Deluxe Edition),3G7tRC24Uh09Hmp1KZ7LQ2,https://i.scdn.co/image/9f5c00aa440d12b238a8d286f8c2e44a96dac53e,https://i.scdn.co/image/7a6fb6526626bc98bd5ed10ac591f5aa0529e1ac,https://p.scdn.co/mp3-preview/4e143a9e5486ecc18bfdfac1b4f5d9d2d730a328?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/1e93bd790b7fea3b68f9f0a03de6d5d13dc27258,I'm a Believer - 2006 Remaster / Original Stereo
Blue Hawaii,44AyOl4qVkzS48vBsbNXaC,https://i.scdn.co/image/4295b5ff74d4f944367144acbe616b6f62d20b17,https://i.scdn.co/image/203104e5843248c700b078f391d4bc759c5d7f47,https://p.scdn.co/mp3-preview/26e409b39a2da6dc18fab61020c90be2938dc0e9?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/0c0a172373b0211c590b241270d05b70889075a1,Can't Help Falling in Love
Don't Play That Song (Mono),3SdTKo2uVsxFblQjpScoHy,https://i.scdn.co/image/edc2885f307788617bc1152168c245933d7231f2,https://i.scdn.co/image/135bb198dad5c469f1864544b7b9657b9e97bad2,https://p.scdn.co/mp3-preview/cdc0401bbc4a03b855d9dd820fdf680917865dba?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/5be1c63ccf1bba6f7cdf6760f7b3471e244433a9,Stand by Me
Celebration (double disc version),1z3ugFmUKoCzGsI6jdY4Ci,https://i.scdn.co/image/564f47f8a5e9914519c0c93dcdb037fe85472998,https://i.scdn.co/image/1243660368d77d4e1b747d8cc68ec0cc318c0036,https://p.scdn.co/mp3-preview/b56a70770267b00ccae13c2e8c8a34ed54627d02?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/451afa1697ac8d5db3ca404031351e0f75d65cf3,Like a Prayer
From Elvis in Memphis,1H5IfYyIIAlgDX8zguUzns,https://i.scdn.co/image/67e6848dbf8e7e7d93120b19033d7639d7f92e34,https://i.scdn.co/image/1ecdfce504d076b0853cfd83c31f06b5de7106b1,https://p.scdn.co/mp3-preview/7a298f247198d8736393e166cb9f9e32227f1886?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/8f50e0a7c68c6c2afa47b166a708075d3be75c14,Suspicious Minds
Hotel California (Remastered),40riOy7x9W7GXjyGp4pjAv,https://i.scdn.co/image/a5d370a3ea82efa63784521a1d7352db0a7a4d3a,https://i.scdn.co/image/bbfa72f88af20c15aa7b56e1aea8682221eab243,https://p.scdn.co/mp3-preview/50e82c99c20ffa4223e82250605bbd8500cb3928?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/3cbe9c0160c600e14d5c24696cade21e80048e59,Hotel California - Eagles 2013 Remaster
Blood Sugar Sex Magik (Deluxe Version),3d9DChrdc6BOeFsbrZ3Is0,https://i.scdn.co/image/5a6a1c6514398dc4004c6348a83d77694a3883d4,https://i.scdn.co/image/5ec4ff29311f065813234bdeee7c1364960f0c3e,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/0fe6b80fd539eb74825b58c3fa62db459fa76b68,Under The Bridge
Tawny Tracks,7sU7UgO8XwiSq2qt4Mgyq0,https://i.scdn.co/image/bd2c076aa494bacad188c85e11f0dd5809c09187,https://i.scdn.co/image/8f5c65d7d4a065cb07758a625c147c019abc67ad,https://p.scdn.co/mp3-preview/aa61cbc188c5b201d2eb3cf863c305ec578578b4?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/27d9ff88ae13a05d27221f22cb678d10bd0dcc69,I Love Rock 'N Roll
Highway 61 Revisited,3AhXZa8sUQht0UEdBJgpGc,https://i.scdn.co/image/e3d720410b4a0770c1fc84bc8eb0f0b76758a358,https://i.scdn.co/image/1bfad02b60bf24ba6b12b96d27775b68ffc5db5c,https://p.scdn.co/mp3-preview/f0eec1a1dbd31bf51cf323d2981535ec4fc5a568?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/291aa67dfb4347025324be042fd7ee54d72ab62b,Like a Rolling Stone
9 To 5 And Odd Jobs,4w3tQBXhn5345eUXDGBWZG,https://i.scdn.co/image/a4246dbcd6956461bce65d138be401e4152f2d5d,https://i.scdn.co/image/3ca0e7e74accf464a1dd6af71176b43783b43ae0,https://p.scdn.co/mp3-preview/a3c584358e68ee984ac4b1f31d4a832fb46aeeb9?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/9d5e15f077508b7e254b8ba3dadbc14625508321,9 to 5
Hail to the King,5anCkDvJ17aznvK5TED5uo,https://i.scdn.co/image/d6fef16190f1516d0efe91c0d1bc6f28d8aa8865,https://i.scdn.co/image/eaaca1bf968dd0e460673e0c7935a21e697e7286,https://p.scdn.co/mp3-preview/98789a401a319f3d9cbae41c6c89630154c0998c?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/eb29dc8f3743000c2394a412f9f72824733c3593,Hail to the King
Toto,4aVuWgvD0X63hcOCnZtNFA,https://i.scdn.co/image/419366b78e2350c087fcf3674ecea4d5abda7611,https://i.scdn.co/image/dedd97ed6f2f78405e0f127f96961b0276cef1bc,https://p.scdn.co/mp3-preview/3f451d46def07f436729cd5b48d7d88a7d48dc4d?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/d6d856563f9ed3d3cc4068a0828a54a7ad4403b3,Hold the Line
She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),1Jj6MF0xDOMA3Ut2Z368Bx,https://i.scdn.co/image/d3526b9bc42399d328a3f7a8608633ea7cd526e8,https://i.scdn.co/image/696b9b8c8193b6422cb1e9c49647bb741c70d01c,https://p.scdn.co/mp3-preview/0bd40c4c5f27548fd83f721380b99466c1c2094f?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/f7d98a61885c3bc21d99ed1f2991565e4dc084b2,Time After Time
What A Feeling,0aAR5HogGoT68EWFbyRFqx,https://i.scdn.co/image/3be11a061176e472067bd2f56d374432a2d064b3,https://i.scdn.co/image/580ac8203e8d110fdd1ec63632161d7014d71fe9,https://p.scdn.co/mp3-preview/bc6a35d8a3dbdbed0a7c7fde9a9ce6c4fc3207a6?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/17b30ac10bdfce4a7729c3c5cc4ee2e954055ffb,What A Feeling
Hooked On A Feeling,6Ac4NVYYl2U73QiTt11ZKd,https://i.scdn.co/image/6fb438f0655af291ac28900b1c75e75aa3d22989,https://i.scdn.co/image/90cba69ca91e475df0e3e7925276d54f4e5b3e04,https://p.scdn.co/mp3-preview/f4d2ded715803f9fe52b09bf38725b6a888ba45a?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/36781eedf859852a223eeb9346c44f6c7f31b0a2,Hooked on a Feeling
The Freewheelin' Bob Dylan,18GiV1BaXzPVYpp9rmOg0E,https://i.scdn.co/image/3c5967c04f83130f1ffbcb2ce971c81f21ff2f6f,https://i.scdn.co/image/2d2d778d68badfbcb9cfa3b12b2b47889f46c51e,https://p.scdn.co/mp3-preview/fc1dd43539f9fbdaa17a4b012d61d50864e6f1fa?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/191709f829fb6aecc59082fc613fadd533a86e8e,Blowin' In the Wind
Back In Black,2SiXAy7TuUkycRVbbWDEpo,https://i.scdn.co/image/52d83377fe9d7fc838deeb859499f3973adf903f,https://i.scdn.co/image/b7b31914e0c4951249fad37271248212c8ac3025,https://p.scdn.co/mp3-preview/2a200f628c41fadd1734ea7663f380659b93d826?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/184dd6719f7c5317a08505d4d67795583adfb392,You Shook Me All Night Long
My Love Essential Collection,6yw2pmCVpIwnyEnqdEuAaT,https://i.scdn.co/image/2ecfcc500b24588c1048698687cf25239e5069ff,https://i.scdn.co/image/b8a048ba3f12f1e31375fd2dd826ccc0fd14811a,https://p.scdn.co/mp3-preview/b98064ff7876dcefd0eca2fe5a5a24351cc27d5d?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/043bac38d2bc5d5247e80ad6f90eba462658f89c,"My Heart Will Go On - Love Theme from ""Titanic"""
War is the Answer,1UWGkn34CD31VQfdi4D8Zp,https://i.scdn.co/image/ce6180e56bfcbca64f50c14aa2f2ba8898c9f8e8,https://i.scdn.co/image/2bdc8b1d1a7ce15cb2a45809c2041d015bfb70e5,https://p.scdn.co/mp3-preview/c5f003381fb9810398a39b8146632fd98f24b41a?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/84a1fa256f512f5190cbc5482e806f4c869822c3,Bad Company
