artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
Ramones,Merry Christmas (I Don't Wanna Fight Tonight) - Single Version,0.475,0.935,0,-6.454,1,0.0488,0.036,2.74e-06,0.222,0.818,151.902,audio_features,7EGQaR9y8XyKeDW7jiDndI,spotify:track:7EGQaR9y8XyKeDW7jiDndI,https://api.spotify.com/v1/tracks/7EGQaR9y8XyKeDW7jiDndI,https://api.spotify.com/v1/audio-analysis/7EGQaR9y8XyKeDW7jiDndI,123600,4,1
David Guetta,Would I Lie To You - Extended,0.74,0.767,7,-6.264,0,0.226,0.00334,7.32e-06,0.666,0.709,124.023,audio_features,6rdMvRjvA5518Q5rmqZLH0,spotify:track:6rdMvRjvA5518Q5rmqZLH0,https://api.spotify.com/v1/tracks/6rdMvRjvA5518Q5rmqZLH0,https://api.spotify.com/v1/audio-analysis/6rdMvRjvA5518Q5rmqZLH0,288070,4,1
Hailee Steinfeld,Love Myself,0.617,0.759,0,-6.785,0,0.0677,0.0026,0,0.419,0.324,122.925,audio_features,36phXHOKx8rO7CMp2vNX4x,spotify:track:36phXHOKx8rO7CMp2vNX4x,https://api.spotify.com/v1/tracks/36phXHOKx8rO7CMp2vNX4x,https://api.spotify.com/v1/audio-analysis/36phXHOKx8rO7CMp2vNX4x,218773,4,1
Tove Lo,Influence,0.768,0.593,5,-9.643,0,0.0463,0.0993,0.000184,0.105,0.329,104.954,audio_features,6IFwG4pnVPcpwX4kXFUbsV,spotify:track:6IFwG4pnVPcpwX4kXFUbsV,https://api.spotify.com/v1/tracks/6IFwG4pnVPcpwX4kXFUbsV,https://api.spotify.com/v1/audio-analysis/6IFwG4pnVPcpwX4kXFUbsV,224507,4,1
Triple One,Tarlo,0.625,0.589,2,-8.192,1,0.0666,0.155,8.88e-06,0.105,0.641,81.961,audio_features,37wcYprGuVZE4TFMRugoKh,spotify:track:37wcYprGuVZE4TFMRugoKh,https://api.spotify.com/v1/tracks/37wcYprGuVZE4TFMRugoKh,https://api.spotify.com/v1/audio-analysis/37wcYprGuVZE4TFMRugoKh,240185,4,0
Toby Keith,Red Solo Cup,0.549,0.563,4,-6.655,1,0.0669,0.279,0,0.215,0.81,163.991,audio_features,47nm8czanMUzIqHsnr5x61,spotify:track:47nm8czanMUzIqHsnr5x61,https://api.spotify.com/v1/tracks/47nm8czanMUzIqHsnr5x61,https://api.spotify.com/v1/audio-analysis/47nm8czanMUzIqHsnr5x61,223387,4,1
Matthew And The Atlas,I Will Remain,0.744,0.432,8,-11.173,1,0.0383,0.79,0.0135,0.111,0.682,123.933,audio_features,1pRb7DlOyLPGcBJUJoAKOo,spotify:track:1pRb7DlOyLPGcBJUJoAKOo,https://api.spotify.com/v1/tracks/1pRb7DlOyLPGcBJUJoAKOo,https://api.spotify.com/v1/audio-analysis/1pRb7DlOyLPGcBJUJoAKOo,206547,4,1
Benjamin Godard,"Symphonie gothique, Op. 23: V. Allegro non troppo",0.382,0.0965,9,-22.29,1,0.0343,0.97,0.879,0.181,0.312,104.629,audio_features,0tqy02sjAeGfXlWQyBnUrD,spotify:track:0tqy02sjAeGfXlWQyBnUrD,https://api.spotify.com/v1/tracks/0tqy02sjAeGfXlWQyBnUrD,https://api.spotify.com/v1/audio-analysis/0tqy02sjAeGfXlWQyBnUrD,236747,4,1
John Morgan,The Uninvited (reconstructed by J. Morgan): Grandfather and the Cliff,0.0645,0.113,0,-20.949,1,0.0405,0.945,0.859,0.0973,0.0309,70.799,audio_features,7h50wXOMKvnPhNtrhpIgKy,spotify:track:7h50wXOMKvnPhNtrhpIgKy,https://api.spotify.com/v1/tracks/7h50wXOMKvnPhNtrhpIgKy,https://api.spotify.com/v1/audio-analysis/7h50wXOMKvnPhNtrhpIgKy,282667,3,1
Righteous Brothers,Unchained Melody,0.367,0.215,0,-16.652,1,0.0288,0.517,0,0.618,0.266,98.742,audio_features,1jFhnVoJkcB4lf9tT0rSZS,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/tracks/1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/audio-analysis/1jFhnVoJkcB4lf9tT0rSZS,215840,3,0
